,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
487,2.435,0,0,0.00,0,-1,0,-1
488,2.440,0,0,0.00,0,-1,0,-1
489,2.445,0,0,0.00,0,-1,0,-1
490,2.450,0,0,0.00,0,-1,0,-1
491,2.456,0,0,0.00,0,-1,0,-1
492,2.460,0,0,0.00,0,-1,0,-1
493,2.465,0,0,0.00,0,-1,0,-1
494,2.470,0,0,0.00,0,-1,0,-1
495,2.475,0,0,0.00,0,-1,0,-1
496,2.480,0,0,0.00,0,-1,0,-1
497,2.485,0,0,0.00,0,-1,0,-1
498,2.490,0,0,0.00,0,-1,0,-1
499,2.495,0,0,0.00,0,-1,0,-1
500,2.500,0,0,0.00,0,-1,0,-1
501,2.505,0,0,0.00,0,-1,0,-1
502,2.510,0,0,0.00,0,-1,0,-1
503,2.515,0,0,0.00,0,-1,0,-1
504,2.520,0,0,0.00,0,-1,0,-1
505,2.525,0,0,0.00,0,-1,0,-1
506,2.530,0,0,0.00,0,-1,0,-1
507,2.535,0,0,0.00,0,-1,0,-1
508,2.540,0,0,0.00,0,-1,0,-1
509,2.545,0,0,0.00,0,-1,0,-1
510,2.550,0,0,0.00,0,-1,0,-1
511,2.555,0,0,0.00,0,-1,0,-1
512,2.560,0,0,0.00,0,-1,0,-1
513,2.565,0,0,0.00,0,-1,0,-1
514,2.570,0,0,0.00,0,-1,0,-1
515,2.575,0,0,0.00,0,-1,0,-1
516,2.580,0,0,0.00,0,-1,0,-1
517,2.585,0,0,0.00,0,-1,0,-1
518,2.590,0,0,0.00,0,-1,0,-1
519,2.595,0,0,0.00,0,-1,0,-1
520,2.600,0,0,0.00,0,-1,0,-1
521,2.605,0,0,0.00,0,-1,0,-1
522,2.610,0,0,0.00,0,-1,0,-1
523,2.615,0,0,0.00,0,-1,0,-1
524,2.620,0,0,0.00,0,-1,0,-1
525,2.625,0,0,0.00,0,-1,0,-1
526,2.630,0,0,0.00,0,-1,0,-1
527,2.635,0,0,0.00,0,-1,0,-1
528,2.640,0,0,0.00,0,-1,0,-1
529,2.645,0,0,0.00,0,-1,0,-1
530,2.650,0,0,0.00,0,-1,0,-1
531,2.655,0,0,0.00,0,-1,0,-1
532,2.661,0,0,0.00,0,-1,0,-1
533,2.665,0,0,0.00,0,-1,0,-1
534,2.670,0,0,0.00,0,-1,0,-1
535,2.675,0,0,0.00,0,-1,0,-1
536,2.680,0,0,0.00,0,-1,0,-1
537,2.685,0,0,0.00,0,-1,0,-1
538,2.690,0,0,0.00,0,-1,0,-1
539,2.696,0,0,0.00,0,-1,0,-1
540,2.700,0,0,0.00,0,-1,0,-1
541,2.705,0,0,0.00,0,-1,0,-1
542,2.710,0,0,0.00,0,-1,0,-1
543,2.715,0,0,0.00,0,-1,0,-1
544,2.720,0,0,0.00,0,-1,0,-1
545,2.725,0,0,0.00,0,-1,0,-1
546,2.730,0,0,0.00,0,-1,0,-1
547,2.735,0,0,0.00,0,-1,0,-1
548,2.740,0,0,0.00,0,-1,0,-1
549,2.745,0,0,0.00,0,-1,0,-1
550,2.750,0,0,0.00,0,-1,0,-1
551,2.755,0,0,0.00,0,-1,0,-1
552,2.760,0,0,0.00,0,-1,0,-1
553,2.765,0,0,0.00,0,-1,0,-1
554,2.770,0,0,0.00,0,-1,0,-1
555,2.775,0,0,0.00,0,-1,0,-1
556,2.780,0,0,0.00,0,-1,0,-1
557,2.785,0,0,0.00,0,-1,0,-1
558,2.790,0,0,0.00,0,-1,0,-1
559,2.795,0,0,0.00,0,-1,0,-1
560,2.800,0,0,0.00,0,-1,0,-1
561,2.805,0,0,0.00,0,-1,0,-1
562,2.810,0,0,0.00,0,-1,0,-1
563,2.815,0,0,0.00,0,-1,0,-1
564,2.820,0,0,0.00,0,-1,0,-1
565,2.825,0,0,0.00,0,-1,0,-1
566,2.831,0,0,0.00,0,-1,0,-1
567,2.835,0,0,0.00,0,-1,0,-1
568,2.840,0,0,0.00,0,-1,0,-1
569,2.845,0,0,0.00,0,-1,0,-1
570,2.850,0,0,0.00,0,-1,0,-1
571,2.855,0,0,0.00,0,-1,0,-1
572,2.860,0,0,0.00,0,-1,0,-1
573,2.866,0,0,0.00,0,-1,0,-1
574,2.870,0,0,0.00,0,-1,0,-1
575,2.875,0,0,0.00,0,-1,0,-1
